DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2022,71.408,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Estonia,2023,48.054,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2014,66.458,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2015,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2016,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2017,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2018,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2019,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2020,4.481,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2021,0.000,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2022,755.209,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Greece,2023,1683.564,,
