freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Iceland,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2014,2753.981,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2015,3050.039,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2016,2947.328,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2017,2724.016,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2018,2901.487,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2019,2333.226,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2020,2438.451,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2021,2101.76,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2022,2753.304,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Italy,2023,2003.834,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Lithuania,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Luxembourg,2023,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2014,40.27,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2015,13.283,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2016,39.533,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2017,39.326,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2018,68.694,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2019,31.891,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2020,30.435,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2021,58.155,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2022,45.014,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Latvia,2023,0.366,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2014,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2015,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2016,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2017,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2018,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2019,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2020,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2021,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2022,0.0,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Moldova,2023,0.0,16/12/24 23:00:00
