geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE,unit
Latvia,2020,22591.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Latvia,2021,24160.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Latvia,2022,24621.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Latvia,2023,24389.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Latvia,2024,24378.3,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2015,3414.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2016,3531.8,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2017,3645.4,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2018,3817.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2019,3985.7,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2020,3388.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2021,3830.1,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2022,4126.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2023,4393.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
Montenegro,2024,4532.9,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
North Macedonia,2015,8021.6,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
North Macedonia,2016,8250.0,17/11/25 23:00:00,"Chain linked volumes (2010), million euro"
